name;time;threads
teen_1;528.63;1
teen_2;154.71;2
teen_3;86.95;3
teen_4;78.05;4
teen_5;57.62;5
teen_6;53.52;6
teen_7;42.53;7
teen_8;40.94;8
teen_9;35.87;9
teen_10;34.40;10
teen_11;31.88;11
teen_12;28.07;12
teen_13;26.97;13
teen_14;26.14;14
teen_15;27.13;15
teen_16;21.84;16
teen_17;25.95;17
teen_18;25.70;18
teen_19;23.65;19
teen_20;17.65;20
teen_21;24.82;21
teen_22;21.73;22
teen_23;15.77;23
teen_24;23.65;24
teen_25;14.48;25
teen_26;14.48;26
teen_27;13.58;27
teen_28;13.87;28
teen_29;12.78;29
teen_30;22.49;30
teen_31;22.05;31
teen_32;11.99;32
